iter	Passed	Remaining
582	1053	753
583	1057	752
584	1058	751
585	1060	749
586	1061	747
587	1063	745
588	1064	743
589	1066	740
590	1067	738
591	1069	737
592	1072	735
593	1073	733
594	1075	731
595	1076	729
596	1078	727
597	1079	725
598	1081	723
599	1082	721
600	1084	720
601	1086	718
602	1088	716
603	1090	714
604	1091	712
605	1092	710
606	1094	708
607	1095	706
608	1097	704
609	1098	702
610	1102	701
611	1104	699
612	1105	698
613	1107	696
614	1109	694
615	1111	692
616	1112	690
617	1114	688
618	1116	687
619	1118	685
620	1119	683
621	1121	681
622	1122	679
623	1124	677
624	1125	675
625	1127	673
626	1128	671
627	1131	670
628	1132	668
629	1134	666
630	1135	664
631	1136	662
632	1138	660
633	1140	658
634	1141	656
635	1143	654
636	1146	653
637	1147	651
638	1149	649
639	1151	647
640	1152	645
641	1154	643
642	1155	641
643	1157	639
644	1159	638
645	1161	636
646	1163	634
647	1164	632
648	1166	630
649	1167	628
650	1169	626
651	1170	625
652	1172	622
653	1174	621
654	1176	619
655	1178	618
656	1180	616
657	1181	614
658	1183	612
659	1185	610
660	1186	608
661	1188	606
662	1190	604
663	1191	603
664	1193	601
665	1194	599
666	1196	597
667	1197	595
668	1199	593
669	1200	591
670	1202	589
671	1203	587
672	1206	586
673	1207	584
674	1209	582
675	1210	580
676	1212	578
677	1213	576
678	1215	574
679	1216	572
680	1218	570
681	1220	569
682	1222	567
683	1224	565
684	1225	563
685	1227	561
686	1229	560
687	1231	558
688	1233	556
689	1235	555
690	1237	553
691	1238	551
692	1240	549
693	1241	547
694	1243	545
695	1244	543
696	1245	541
697	1247	539
698	1249	537
699	1251	536
700	1252	534
701	1254	532
702	1256	530
703	1257	528
704	1259	526
705	1260	524
706	1261	522
707	1263	521
708	1266	519
709	1268	517
710	1269	516
711	1271	514
712	1272	512
713	1273	510
714	1275	508
715	1276	506
716	1277	504
717	1280	502
718	1281	500
719	1283	499
720	1285	497
721	1286	495
722	1288	493
723	1289	491
724	1290	489
725	1292	487
726	1294	486
727	1296	484
728	1298	482
729	1299	480
730	1301	478
731	1302	476
732	1304	475
733	1305	473
734	1307	471
735	1309	469
736	1311	467
737	1313	466
738	1314	464
739	1315	462
740	1317	460
741	1318	458
742	1320	456
743	1321	454
744	1323	453
745	1325	451
746	1326	449
747	1328	447
748	1330	445
749	1331	443
750	1333	442
751	1334	440
752	1335	438
753	1337	436
754	1339	434
755	1341	432
756	1342	431
757	1344	429
758	1346	427
759	1347	425
760	1349	423
761	1350	421
762	1352	420
763	1354	418
764	1356	416
765	1357	414
766	1359	412
767	1360	411
768	1361	409
769	1363	407
770	1365	405
771	1366	403
772	1368	401
773	1370	400
774	1371	398
775	1373	396
776	1374	394
777	1376	392
778	1377	390
779	1379	388
780	1380	387
781	1381	385
782	1383	383
783	1385	381
784	1386	379
785	1388	377
786	1389	376
787	1391	374
788	1392	372
789	1393	370
790	1395	368
791	1396	366
792	1398	365
793	1400	363
794	1401	361
795	1403	359
796	1404	357
797	1406	355
798	1407	354
799	1409	352
800	1410	350
801	1412	348
802	1414	346
803	1415	345
804	1417	343
805	1418	341
806	1420	339
807	1421	337
808	1423	335
809	1424	334
810	1425	332
811	1427	330
812	1429	328
813	1430	326
814	1432	325
815	1433	323
816	1434	321
817	1436	319
818	1437	317
819	1439	315
820	1440	314
821	1442	312
822	1444	310
823	1445	308
824	1447	306
825	1448	305
826	1450	303
827	1452	301
828	1453	299
829	1454	298
830	1456	296
831	1458	294
832	1460	292
833	1462	291
834	1463	289
835	1465	287
836	1467	285
837	1468	283
838	1470	282
839	1472	280
840	1474	278
841	1476	277
842	1478	275
843	1480	273
844	1482	271
845	1484	270
846	1486	268
847	1488	266
848	1490	265
849	1492	263
850	1494	261
851	1495	259
852	1497	258
853	1498	256
854	1500	254
855	1503	252
856	1504	251
857	1506	249
858	1508	247
859	1509	245
860	1511	243
861	1512	242
862	1514	240
863	1516	238
864	1519	237
865	1520	235
866	1521	233
867	1523	231
868	1525	229
869	1526	228
870	1528	226
871	1529	224
872	1531	222
873	1534	221
874	1536	219
875	1537	217
876	1539	215
877	1540	214
878	1542	212
879	1544	210
880	1545	208
881	1547	207
882	1549	205
883	1551	203
884	1553	201
885	1554	200
886	1555	198
887	1557	196
888	1558	194
889	1560	192
890	1563	191
891	1564	189
892	1566	187
893	1567	185
894	1569	184
895	1570	182
896	1572	180
897	1573	178
898	1574	176
899	1577	175
900	1579	173
901	1581	171
902	1582	170
903	1583	168
904	1585	166
905	1586	164
906	1588	162
907	1590	161
908	1592	159
909	1594	157
910	1596	155
911	1598	154
912	1599	152
913	1602	150
914	1603	148
915	1605	147
916	1607	145
917	1609	143
918	1610	141
919	1612	140
920	1613	138
921	1615	136
922	1616	134
923	1617	133
924	1621	131
925	1623	129
926	1625	128
927	1627	126
928	1629	124
929	1630	122
930	1632	120
931	1634	119
932	1636	117
933	1638	115
934	1639	114
935	1641	112
936	1643	110
937	1645	108
938	1646	106
939	1648	105
940	1650	103
941	1652	101
942	1653	99
943	1655	98
944	1656	96
945	1658	94
946	1660	92
947	1662	91
948	1664	89
949	1666	87
950	1668	85
951	1669	84
952	1671	82
953	1672	80
954	1674	78
955	1675	77
956	1677	75
957	1679	73
958	1681	71
959	1683	70
960	1684	68
961	1686	66
962	1687	64
963	1689	63
964	1690	61
965	1692	59
966	1694	57
967	1696	56
968	1697	54
969	1699	52
970	1700	50
971	1702	49
972	1703	47
973	1705	45
974	1706	43
975	1708	42
976	1710	40
977	1712	38
978	1713	36
979	1715	35
980	1716	33
981	1718	31
982	1719	29
983	1721	27
984	1722	26
985	1724	24
986	1726	22
987	1727	20
988	1729	19
989	1731	17
990	1733	15
991	1734	13
992	1735	12
993	1737	10
994	1739	8
995	1741	6
996	1743	5
997	1744	3
998	1746	1
999	1747	0
